player_name,team_id,team_name,full_name
de ligt,14,Man Utd,De Ligt
mazraoui,14,Man Utd,Mazraoui
collyer,14,Man Utd,Collyer
wheatley,14,Man Utd,Wheatley
ugarte,14,Man Utd,Ugarte
fletcher,14,Man Utd,Fletcher
amass,14,Man Utd,Amass
fitzgerald,14,Man Utd,Fitzgerald
kukonki,14,Man Utd,Kukonki
amorim,14,Man Utd,Amorim
a.murphy,15,Newcastle,A.Murphy
almirón,15,Newcastle,Almirón
barnes,15,Newcastle,Barnes
botman,15,Newcastle,Botman
bruno g.,15,Newcastle,Bruno G.
burn,15,Newcastle,Burn
dúbravka,15,Newcastle,Dúbravka
gordon,15,Newcastle,Gordon
hall,15,Newcastle,Hall
hayden,15,Newcastle,Hayden
isak,15,Newcastle,Isak
j.murphy,15,Newcastle,J.Murphy
joelinton,15,Newcastle,Joelinton
kelly,15,Newcastle,Kelly
krafth,15,Newcastle,Krafth
kuol,15,Newcastle,Kuol
lascelles,15,Newcastle,Lascelles
lewis,15,Newcastle,Lewis
livramento,15,Newcastle,Livramento
longstaff,15,Newcastle,Longstaff
miley,15,Newcastle,Miley
odysseas,15,Newcastle,Odysseas
pope,15,Newcastle,Pope
ruddy,15,Newcastle,Ruddy
schär,15,Newcastle,Schär
targett,15,Newcastle,Targett
tonali,15,Newcastle,Tonali
trippier,15,Newcastle,Trippier
white,15,Newcastle,White
willock,15,Newcastle,Willock
wilson,15,Newcastle,Wilson
pivas,15,Newcastle,Pivas
osula,15,Newcastle,Osula
howe,15,Newcastle,Howe
alex moreno,16,Nottingham Forest,Alex Moreno
aina,16,Nottingham Forest,Aina
anderson,16,Nottingham Forest,Anderson
awoniyi,16,Nottingham Forest,Awoniyi
boly,16,Nottingham Forest,Boly
bowler,16,Nottingham Forest,Bowler
c.miguel,16,Nottingham Forest,C.Miguel
da silva moreira,16,Nottingham Forest,Da Silva Moreira
danilo,16,Nottingham Forest,Danilo
dennis,16,Nottingham Forest,Dennis
dominguez,16,Nottingham Forest,Dominguez
elanga,16,Nottingham Forest,Elanga
gibbs-white,16,Nottingham Forest,Gibbs-White
hudson-odoi,16,Nottingham Forest,Hudson-Odoi
mighten,16,Nottingham Forest,Mighten
murillo,16,Nottingham Forest,Murillo
n.williams,16,Nottingham Forest,N.Williams
o.richards,16,Nottingham Forest,O.Richards
o'brien,16,Nottingham Forest,O'Brien
omobamidele,16,Nottingham Forest,Omobamidele
panzo,16,Nottingham Forest,Panzo
sangaré,16,Nottingham Forest,Sangaré
sels,16,Nottingham Forest,Sels
toffolo,16,Nottingham Forest,Toffolo
ui-jo,16,Nottingham Forest,Ui-jo
wood,16,Nottingham Forest,Wood
worrall,16,Nottingham Forest,Worrall
yates,16,Nottingham Forest,Yates
ward-prowse,16,Nottingham Forest,Ward-Prowse
milenković,16,Nottingham Forest,Milenković
jota silva,16,Nottingham Forest,Jota Silva
sosa,16,Nottingham Forest,Sosa
morato,16,Nottingham Forest,Morato
abbott,16,Nottingham Forest,Abbott
hennessey,16,Nottingham Forest,Hennessey
nuno,16,Nottingham Forest,Nuno
ramsdale,17,Southampton,Ramsdale
archer,17,Southampton,Archer
ugochukwu,17,Southampton,Ugochukwu
fraser,17,Southampton,Fraser
alcaraz,17,Southampton,Alcaraz
amo-ameyaw,17,Southampton,Amo-Ameyaw
aribo,17,Southampton,Aribo
armstrong,17,Southampton,Armstrong
bazunu,17,Southampton,Bazunu
bednarek,17,Southampton,Bednarek
bella-kotchap,17,Southampton,Bella-Kotchap
bree,17,Southampton,Bree
charles,17,Southampton,Charles
edozie,17,Southampton,Edozie
edwards,17,Southampton,Edwards
harwood-bellis,17,Southampton,Harwood-Bellis
kamaldeen,17,Southampton,Kamaldeen
lallana,17,Southampton,Lallana
larios,17,Southampton,Larios
lis,17,Southampton,Lis
lumley,17,Southampton,Lumley
manning,17,Southampton,Manning
mara,17,Southampton,Mara
mccarthy,17,Southampton,McCarthy
onuachu,17,Southampton,Onuachu
smallbone,17,Southampton,Smallbone
stephens,17,Southampton,Stephens
stewart,17,Southampton,Stewart
sugawara,17,Southampton,Sugawara
taylor,17,Southampton,Taylor
walker-peters,17,Southampton,Walker-Peters
wood,17,Southampton,Wood
cornet,17,Southampton,Cornet
downes,17,Southampton,Downes
brereton díaz,17,Southampton,Brereton Díaz
dibling,17,Southampton,Dibling
m.fernandes,17,Southampton,M.Fernandes
